S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
18,BHPL,,57.78,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.10,38.40,0.75,9.57,0.45,0.00,0.00,439.60,194.30,
19,BNHC,,46.37,436.00,438.00,415.60,423.10,430.52,"7,368.00",428.90,"3,172,053.80",96,-5.80,22.40,-1.35,5.39,-1.75,382.50,391.66,744.00,266.90,
20,BNT,,35.14,"13,249.00","13,249.00","13,100.00","13,100.00","13,133.11",45.00,"13,000.00","590,990.00",3,100.00,149.00,0.77,1.14,-0.25,"13,035.47","13,158.39","15,385.00","11,396.00",
21,BOKD86,,39.07,774.90,775.00,774.90,775.00,774.96,35.00,770.10,"27,123.60",2,4.90,0.10,0.64,0.01,0.01,0.00,0.00,"1,000.00",738.50,
22,BPCL,,42.89,331.00,342.70,331.00,334.00,337.00,"12,798.00",336.10,"4,312,929.50",113,-2.10,11.70,-0.62,3.53,-0.90,315.75,323.63,474.00,288.00,
23,CBBL,,46.33,"1,240.10","1,240.10","1,220.00","1,226.00","1,224.71","16,779.00","1,239.90","20,549,388.70",329,-13.90,20.10,-1.12,1.65,0.11,"1,078.06","1,055.70","1,433.00",882.00,
24,CBL,,43.53,228.30,233.60,228.30,233.10,231.28,"57,663.00",230.10,"13,336,268.30",186,3.00,5.30,1.30,2.32,0.78,217.55,227.80,282.00,194.00,
25,CCBD88,,62.19,849.00,849.00,849.00,849.00,849.00,125.00,866.30,"106,125.00",2,-17.30,0.00,-2.00,0.00,0.00,0.00,0.00,"1,000.00",837.00,
26,CFCL,,44.46,351.00,361.00,351.00,360.00,356.76,"16,054.00",358.00,"5,727,422.90",92,2.00,10.00,0.56,2.85,0.90,329.50,318.87,529.30,237.00,
27,CGH,,43.33,"1,360.00","1,379.00","1,352.40","1,373.00","1,367.45","2,017.00","1,380.00","2,758,148.00",73,-7.00,26.60,-0.51,1.97,0.40,"1,052.09","1,069.58","1,546.00",900.20,
28,CHCL,,44.57,425.50,427.00,415.00,420.00,418.47,"18,480.00",419.00,"7,733,402.20",130,1.00,12.00,0.24,2.89,0.36,388.39,396.52,555.90,347.90,
29,CHDC,,46.65,740.00,770.10,740.00,750.50,761.83,"11,254.00",755.00,"8,573,642.00",143,-4.50,30.10,-0.60,4.07,-1.51,693.89,704.12,"1,130.00",590.00,
30,CHL,,52.54,297.10,320.00,291.20,313.00,308.84,"34,701.00",302.00,"10,717,098.40",171,11.00,28.80,3.64,9.89,1.33,239.88,255.29,550.80,193.10,
31,CIT,,40.89,"2,136.00","2,155.00","2,125.20","2,130.00","2,137.28","6,322.00","2,150.00","13,511,900.80",174,-20.00,29.80,-0.93,1.40,-0.34,"2,088.60","2,245.78","3,555.00","1,780.00",
32,CLBSL,,53.83,970.00,"1,008.00",960.00,998.90,995.30,"9,689.00",970.00,"9,643,500.40",112,28.90,48.00,2.98,5.00,0.36,838.03,819.89,"1,180.00",662.50,
33,CMF1,,55.17,8.60,8.99,8.48,8.99,8.61,"75,265.00",8.50,"648,107.10",24,0.49,0.51,5.76,6.01,4.22,8.08,8.30,10.49,6.75,
34,CMF2,,52.32,8.77,8.77,8.59,8.60,8.63,"50,458.00",8.94,"435,528.84",16,-0.34,0.18,-3.80,2.10,-0.37,8.44,8.85,10.89,7.24,
35,CORBL,,55.24,340.00,347.00,335.00,344.70,342.80,"13,343.00",338.00,"4,574,027.10",82,6.70,12.00,1.98,3.58,0.55,296.53,314.12,659.80,211.30,
36,CYCL,,45.43,"1,915.00","1,940.00","1,902.20","1,915.00","1,915.57",992.00,"1,940.00","1,900,245.80",72,-25.00,37.80,-1.29,1.99,-0.03,0.00,0.00,"2,734.80",382.20,
37,CZBIL,,43.03,200.30,207.00,200.30,205.40,204.76,"43,986.00",204.00,"9,006,625.50",224,1.40,6.70,0.69,3.34,0.31,193.97,204.08,323.30,175.00,
